dataset,method,resize,label,flip,shortlist_n,n_queries,full_top1,full_top5,opp_top1
ReunionGreen,MegaDescriptor,sq512,512x512,False,10,200,0.6200000000000004,0.8300000000000006,0.6050000000000004
ReunionGreen,MD→XFeat N=10 (512x512),sq512,512x512,False,10,200,0.2500000000000001,0.6450000000000005,0.04
ReunionGreen,MegaDescriptor,sq512,512x512,True,10,200,0.6300000000000004,0.8400000000000006,0.6000000000000004
ReunionGreen,MD→XFeat N=10 (512x512),sq512,512x512,True,10,200,0.7150000000000005,0.8650000000000007,0.7150000000000005
ReunionGreen,MegaDescriptor,native,no_resize,False,10,200,0.6200000000000004,0.8300000000000006,0.6050000000000004
ReunionGreen,MD→XFeat N=10 (no_resize),native,no_resize,False,10,200,0.19000000000000009,0.7750000000000006,0.045
ReunionGreen,MegaDescriptor,native,no_resize,True,10,200,0.6300000000000004,0.8400000000000006,0.6000000000000004
ReunionGreen,MD→XFeat N=10 (no_resize),native,no_resize,True,10,200,0.6850000000000005,0.8500000000000006,0.6850000000000005
