dataset,method,flip,shortlist_n,shortlist_fraction,resize,yolo_kepala,split_mode,seed,max_identities,n_identities,n_excluded_identities,n_images,n_queries,full_top1,full_top5,opp_top1
ReunionGreen,MegaDescriptor,True,80,0.4,kepala_sq512,True,one_per_side,0,,50,0,200,100,0.5100000000000002,0.7500000000000004,0.49000000000000027
ReunionGreen,MD→XFeat N=80,True,80,0.4,kepala_sq512,True,one_per_side,0,,50,0,200,100,0.6300000000000003,0.8200000000000005,0.6300000000000003
ReunionGreen,A CalShortlist N=80,True,80,0.4,kepala_sq512,True,one_per_side,0,,50,0,200,100,0.6900000000000004,0.8500000000000005,0.6900000000000004
ReunionHawksbill,MegaDescriptor,True,54,0.4,kepala_sq512,True,one_per_side,0,,34,0,136,68,0.5588235294117645,0.852941176470587,0.5294117647058822
ReunionHawksbill,MD→XFeat N=54,True,54,0.4,kepala_sq512,True,one_per_side,0,,34,0,136,68,0.6911764705882346,0.8823529411764692,0.6911764705882346
ReunionHawksbill,A CalShortlist N=54,True,54,0.4,kepala_sq512,True,one_per_side,0,,34,0,136,68,0.7647058823529402,0.8970588235294104,0.7499999999999991
Amvrakikos,MegaDescriptor,True,80,0.4,kepala_sq512,True,one_per_side,0,,50,0,200,100,0.3200000000000001,0.5600000000000003,0.2900000000000001
Amvrakikos,MD→XFeat N=80,True,80,0.4,kepala_sq512,True,one_per_side,0,,50,0,200,100,0.48000000000000026,0.6300000000000003,0.48000000000000026
Amvrakikos,A CalShortlist N=80,True,80,0.4,kepala_sq512,True,one_per_side,0,,50,0,200,100,0.5300000000000002,0.7300000000000004,0.5300000000000002
