dataset,method,flip,shortlist_n,n_queries,full_top1,full_top5,opp_top1,opp_top5,gap_to_target_top1
ReunionGreen,MD→ALIKED N=10,False,10,200,0.31000000000000016,0.6050000000000004,0.030000000000000002,0.4600000000000003,0.4899999999999999
ReunionGreen,MD→XFeat N=10,False,10,200,0.2600000000000001,0.7150000000000005,0.045,0.6400000000000005,0.5399999999999999
ReunionGreen,MD→DeDoDe-v2+LG N=10,False,10,200,0.2500000000000001,0.6250000000000004,0.04,0.5250000000000004,0.5499999999999999
ReunionGreen,MD→ALIKED N=10,True,10,200,0.6900000000000005,0.8350000000000006,0.6900000000000005,0.8200000000000006,0.10999999999999954
ReunionGreen,MD→XFeat N=10,True,10,200,0.7550000000000006,0.8550000000000006,0.7550000000000006,0.8400000000000006,0.044999999999999485
ReunionGreen,MD→DeDoDe-v2+LG N=10,True,10,200,0.6800000000000005,0.8350000000000006,0.6800000000000005,0.8250000000000006,0.11999999999999955
