dataset,method,flip,shortlist_n,shortlist_fraction,resize,yolo_kepala,split_mode,seed,n_identities,n_excluded_identities,n_images,n_queries,full_top1,full_top5,opp_top1
ReunionGreen,MegaDescriptor,True,32,0.4,kepala_sq512,True,one_per_side,0,20,0,80,40,0.37500000000000006,0.6250000000000002,0.325
ReunionGreen,MD→XFeat N=32,True,32,0.4,kepala_sq512,True,one_per_side,0,20,0,80,40,0.4500000000000001,0.6750000000000003,0.4500000000000001
ReunionGreen,A CalShortlist N=32,True,32,0.4,kepala_sq512,True,one_per_side,0,20,0,80,40,0.4250000000000001,0.6750000000000003,0.4250000000000001
