dataset,method,flip,shortlist_n,n_queries,full_top1,full_top5,opp_top1,opp_top5,gap_to_target_top1
Zakynthos,MegaDescriptor,False,50,160,0.7562499999999983,0.9874999999999975,0.6249999999999988,0.9499999999999976,0.04375000000000173
Zakynthos,MD→ALIKED N=50,False,50,160,0.6749999999999986,0.7812499999999982,0.00625,0.09375000000000001,0.12500000000000144
Zakynthos,MD→XFeat N=50,False,50,160,0.1937500000000001,0.5187499999999992,0.08750000000000001,0.31874999999999987,0.60625
Zakynthos,MegaDescriptor,True,50,160,0.7624999999999983,0.9749999999999975,0.6124999999999988,0.9374999999999977,0.037500000000001754
Zakynthos,MD→ALIKED N=50,True,50,160,0.4812499999999993,0.7437499999999984,0.4812499999999993,0.7312499999999984,0.31875000000000075
Zakynthos,MD→XFeat N=50,True,50,160,0.3374999999999998,0.7124999999999985,0.3312499999999998,0.6999999999999985,0.46250000000000024
ReunionGreen,MegaDescriptor,False,50,200,0.6200000000000004,0.8300000000000006,0.6050000000000004,0.8100000000000006,0.1799999999999996
ReunionGreen,MD→ALIKED N=50,False,50,200,0.4550000000000003,0.5750000000000004,0.0,0.01,0.34499999999999975
ReunionGreen,MD→XFeat N=50,False,50,200,0.30000000000000016,0.4900000000000003,0.015,0.11000000000000003,0.4999999999999999
ReunionGreen,MegaDescriptor,True,50,200,0.6300000000000004,0.8400000000000006,0.6000000000000004,0.8050000000000006,0.1699999999999996
ReunionGreen,MD→ALIKED N=50,True,50,200,0.7000000000000005,0.8650000000000007,0.7000000000000005,0.8650000000000007,0.09999999999999953
ReunionGreen,MD→XFeat N=50,True,50,200,0.7550000000000006,0.9250000000000007,0.7550000000000006,0.9250000000000007,0.044999999999999485
