dataset,method,flip,shortlist_n,shortlist_fraction,resize,split_mode,seed,n_identities,n_excluded_identities,n_images,n_queries,full_top1,full_top5,opp_top1
ReunionGreen,MegaDescriptor,True,60,0.3,sq512,one_per_side,0,50,0,200,100,0.5700000000000003,0.8000000000000005,0.5400000000000003
ReunionGreen,MD→XFeat N=60,True,60,0.3,sq512,one_per_side,0,50,0,200,100,0.6600000000000004,0.8500000000000005,0.6600000000000004
ReunionGreen,A CalShortlist N=60,True,60,0.3,sq512,one_per_side,0,50,0,200,100,0.7500000000000004,0.8900000000000006,0.7400000000000004
ReunionHawksbill,MegaDescriptor,True,41,0.3,sq512,one_per_side,0,34,0,136,68,0.6029411764705879,0.8970588235294104,0.6029411764705879
ReunionHawksbill,MD→XFeat N=41,True,41,0.3,sq512,one_per_side,0,34,0,136,68,0.735294117647058,0.9117647058823515,0.735294117647058
ReunionHawksbill,A CalShortlist N=41,True,41,0.3,sq512,one_per_side,0,34,0,136,68,0.8088235294117636,0.9117647058823515,0.8088235294117636
Amvrakikos,MegaDescriptor,True,60,0.3,sq512,one_per_side,0,50,0,200,100,0.5100000000000002,0.7500000000000004,0.45000000000000023
Amvrakikos,MD→XFeat N=60,True,60,0.3,sq512,one_per_side,0,50,0,200,100,0.5700000000000003,0.7300000000000004,0.5700000000000003
Amvrakikos,A CalShortlist N=60,True,60,0.3,sq512,one_per_side,0,50,0,200,100,0.6800000000000004,0.8000000000000005,0.6800000000000004
